Citation,Sentence number,Segment,Sentiment class,Translation,Relevant Lexicon,Comments
,134,"Victorini mei lacrimis tabesco , conliquesco . Saepe etiam expostulo cum deis immortalibus et fata iurgio compello .",Negative,"but as my Victorinus weeps, I waste away, I melt away along with him. Often I even find fault with the immortal Gods and upbraid the Fates with reproaches.",,
,135,Sapiet mea filia : viro omnium quantum est hominum optimo adquiescet : is eam consolabitur pariter lacrimando pariter suspirando pariter loquendo pariter conticiscendo .,Positive,"My daughter will be reasonable, she will rest upon her husband's love, and he is the best of men. He will comfort her by mingling his tears and sighs with hers, by speaking when she speaks and being silent when she is silent. ",,hopeful that her grief will be consoled = pos
,136,Senex ego parens indigne consolabor ; dignius enim foret ipsum me ante obiisse . .,Negative,"It will scarce befit me, her aged father, to comfort her; for it were more fitting had I myself been the first to die. ",,
,137,"Neque ulla poetarum carmina aut sapientium praecepta tantum promoverint ad luctum filiae meae sedandum et dolorem leniendum , quantum mariti vox ex ore carissimo et pectore iunctissimo profecta .",Mixed,Nor would any poet's songs or philosopher's precepts avail so much to assuage my daughter's grief and soothe her pain as her husband's voice issuing from lips so dear and a heart so near her own.,,"grief so strong no one can help her (neg), except her husband (pos)"
,138,"10 . Multum et graviter male valui , mi Marce carissime . Dein casibus miserrimis adflictus , tum uxorem amisi , nepotem in Germania amisi , miserum me !",Negative,"I have suffered from constant and serious illhealth, my dearest Marcus. Then afflicted by the most distressing calamities I have further lost my wife, I have lost my grandson in Germany—woe is me !",,
,139,"Decimanum nostrum amisi . Ferreus si essem , plura scribere non possem isto in tempore .",Negative,—I have lost my Decimanus. If I were of iron I could write no more just now.,,
"Ad M . Caes . ii . 8 Naber , p . 32 . ",140,Gratiam meam misi ad diem natalem matri tuae celebrandum eique praecepi ut istic subsisteret quoad ego venirem .,Neutral,"I have sent my Gratia to keep your mother's birthday with her, and bidden her stay there till I come.",,
,141,Eodem autem momento quo consulatum eiuravero vehiculum conscendam et ad vos pervolabo . Interim Gratiae meae nullum a fame periculum fore fide mea spopondi :,Neutral,"The very moment, however, that I have laid down my consulship with the customary oath I shall climb into my carriage and fly off to you. Meanwhile, I have pledged my word that my Gratia shall run no risk of starvation.",,"""pervolabo"" feels positive but not enough to change the prevailing neutral sentiment"
,142,"mater enim tua particulas a te sibi missas cum clienta communicabit . Neque est Gratia mea , ut causidicorum uxores feruntur , multi cibi .",Neutral,"For your mother will share with her profégée the tit-bits sent her by you. Nor is my Gratia a great eater, as lawyer's wives are said to be. ",,
,143,Vel osculis solis matris tuae contenta vixerit . Sed enim quid me fiet ? Ne osculum quidem usquam ullum est Romae residuum .,Mixed,She will live contentedly enough even on nothing but your mother's kisses. But what will become of poor me? There is not even a single kiss left anywhere in Rome. ,,
,144,"Omnes meae fortunae , mea omnia gaudia Neapoli sunt . Oro te , quis iste mos est pridie magistratum eiurandi ?",Mixed,"All my fortunes, all my joys are at Naples. Tell me, I beseech you, what is the custom of laying down an office under oath a day earlier?",,"neg for describing what he misses at naples, pos for the hope of leaving office sooner"
,145,"Quid , quod ego paratus sum , dum ante plures dies eiurem , per plures deos iurare ?",Neutral,"What, am I not ready to swear by as many more gods as I can swear myself out of office days
sooner? ",,
,146,"Quid est autem , quod iuraturus sum me consulatu abire ? Ego vero etiam illud iuravero , me olim consulatu abire cupere , ut M . Aurelium complectar . ",Positive,"Again, am I to swear that I resign my consulship? Yes, and I will swear this, too, that I have long wished to resign it, that I may embrace Marcus Aurelius.",,
"Ad M . Caes . ii . 12 Naber , p . 35 .",147,". . . . et meus me alipta faucibus urgebat . Sed quae , inquis , fabula ?",Neutral,"...and my wrestling-master had me by the throat. But what, you say, was the story?",,
,148,"Ut pater meus a vineis domum se recepit , ego solito more equum inscendi , et in viam profectus sum , et paulatim provectus .",Neutral,"When my father had got home from the vineyards, I, as usual, mounted my horse and set off along the road, and had gone some little distance. ",,
,149,"Deinde ibi in via sic oves multae conglobatae adstabant ut locis solet artis et canes quattuor et duo pastores , sed nihil praeterea .",Neutral,"Then I came upon a number of sheep in the road huddled together, as happens when there is little room, with four dogs and two shepherds, that was all. ",,
,150,"Tum pastor unus ad alterum pastorem , postquam plusculos equites vidit , Vide tibi istos equites , inquit , nam illi solent maximas rapinationes facere .",Negative,"Then one of the shepherds, seeing our cavalcade, said to his mate, ""Look, keep an eye on those riders, they've got a habit of thieving.""",rapinationes,
,151,"Ubi id audivi , calcar equo subpingo , equum in oves inigo . Oves consternatae disperguntur ;",Negative,"Hearing that, I dug the spurs into my horse and galloped right into the flock. The sheep, frightened, scattered; ",consternatae,
,152,"aliae alibi palantes balantesque oberrant . Pastor furcam intorquet ; furca in equitem , qui me sectabatur , cadit .",Negative,they ran here and there bleating and fleeting. The shepherd whirled his crook at us. It fell on my equerry who was following me. ,,
,153,"Nos aufugimus . Eo pacto qui metuebatur ne oves amitteret , furcam perdidit . Fabulam existimas ?",Neutral,"We fled the scene. So it chanced that he, who feared to lose his sheep, lost his crook. Do you think this a fiction? ",,
,154,"Res vera est : at etiam plura erant quae de ea re scriberem , nisi iam me nuntius in balneum arcesseret .",Neutral,"It really took place: yes, and there is more I could write to you of that adventure, but here comes the messenger to call me to my bath. ",,
,155,"Vale mi magister dulcissime , homo honestissime et rarissime , suavitas et caritas et voluptas mea .",Positive,"Farewell, my sweetest of masters, most honoured and most unique of men, my joy, my treasure, my delight.",,
"Ad M . Caes . iv . 6 Naber , p . 69 . ",156,"Nos valemus . Ego aliquantulum prodormivi propter perfrictiunculam , quae videtur sedata esse . Ego ab undecima noctis in tertiam diei partim legi ex Agricullura Catonis partim scripsi , minus misere mehercule quam heri .",Positive,"We are well. I slept somewhat late owing to my slight cold, which seems now to have subsided. So from five a.m. till nine I spent the time partly in reading some of Cato's Agriculture and partly in writing not quite such wretched stuff, by heavens, as yesterday. ",valemus,"pos (""we are well"", cold subsided, writing stuff not as bad as yesterday) a bit toned down but not enough to be neutral."
,157,"Inde salutato patre meo , aqua mulsa sorbenda usque ad gulam et reiectanda fauces fovi , potius quam dicerem gargarissavi :",Neutral,"Then, after paying my respects to my father, I relieved my throat by swallowing honey water as far as the gullet and ejecting it again, rather than say gargling,",,
,158,"nam est apud Novium , credo , et alibi . Sed faucibus curatis abii ad patrem meum et immolanti adstiti .",Neutral,"though the word is found in Novius, I believe, and elsewhere. After easing my throat I went off to my father and attended him at a sacrifice. ",,
,159,"Deinde ad merendam itum . Quid me censes prandisse? panis tantulum , quom conchim caepas et maenas bene praegnatas alios vorantes viderem .",Neutral,"Then we went to luncheon. What do you think I ate? A little bread, though I saw others devouring beans, onions, and herrings full of roe. ",,
,160,"Deinde uvis metendis operam dedimus et consudavimus et iubilavimus et aliquot , ut ait auctor , reliquimus altipendulos vindemiae superstites . Ab hora sexta domum rediimus . ",Positive,"We then worked hard at grape-gathering, and had a good sweat, and were merry and, as the poet says, ""still l left some clusters hanging high as gleanings of the wintage"". After six o'clock we came home.",,
"Ad . M . Caes . v . 8 23 Naber , p .",161,"Ego dies istos tales transegi . Soror dolore muliebrium partium ita correpta est repente , ut faciem horrendam viderim .",Negative,This is how I have passed the last few days. My sister was seized suddenly with such pain in her feminine parts that it was dreadful to see her. ,,
,162,Mater autem mea in ea trepidatione imprudens angulo parietis costam inflixit : eo ictu graviter et se et nos adfecit .,Negative,"Moreover, my mother, in the flurry of the moment, inadvertently ran her side against a corner of the wall, causing us as well as herself great pain by the accident. ",,
,163,"Ipse quom cubitum irem , scorpionem in lecto offendi : occupavi tamen eum occidere priusquam accumberem .",Mixed,"For myself, when I went to lie down I came upon a scorpion in my bed; however, I was in time to kill it before lying down upon it. ",,"shock/fright = neg, relief at kill = pos"
,164,"Tu si rectius vales , est solacium . Mater iam levior est , dis volentibus .",Positive,"If you are better, that is a consolation. My mother feels easier now, thank the Gods. ",,
"Ad Verum Imp . i . 3 Naber , p . 116 . ",165,"Est quod ego tecum graviter conquerar , mi magister , et quidem ut querelam dolor superet , quod ego te tanto post intervallo nec complexus neque adfatus sim , quom et in palatium veneris ",Negative,"I have a serious complaint to make against you, my master, and yet that is not so great as my disappointment, that after so long a separation I did not embrace or speak to you, though you both came to the Palace ",,
,166,et postquam ego a Domino meo fratre vixdum discesseram . Equidem multum fratrem meum obiurgavi cur me non revocarit .,Negative,and came when I had only just left the Lord my brother. You may be sure I gave my brother good scolding for not calling me back.,,
,167,"Neque culpam abnuere ausus est . Quantum , oro te , fuit ante mihi significare , te ad fratrem meum venturum esse , velle me quoque visere , postremo redire me iubere , uti confabularemur quid enim , si me hodie domum arcessas , nonne omnibus omissis libens curram ?",Negative,"And he could not deny that he was to blame. How easy, prithee, it would have been to let me know beforehand that you were coming to see my brother, and would like to see me as well, or failing that, to have asked me to return, that we might have a talk. What, if you sent for me to-day to your house, should I not put everything aside and run to you?",,
,168,"Qui quidem aegerrime tulerim quod non cotidie ad te commeem . Quin gravissimum stationis nostrae id esse arbitrer , quod veniendi ad te adeo rara est facultas .",Negative,"Indeed, I have been very cross that I could not visit you every day. Nay, l think it is the heaviest penalty of our position that I so seldom have an opportunity of coming to you.",,
,169,". . solus . . . ad te currissem . Nunc oro saltem , dum mi hi nondum vacat ad te contendere , rescribas quomodo valeas :",Neutral,"... alone... I should have run to you. Now at least I beseech you, as I have no leisure yet to hasten to you, write and tell me how you are. ",,
,170,"nec diu iam impedient negotia , quamvis tumeant , quin te revisam aut expectem .",Neutral,"Affairs of state, however pressing, shall not long prevent me from seeing you again or expecting you.",,
"Ad M . Caes . iv . 13 Naber , p . 75 . C .",171,"Aufidius animos tollit , arbitratum suum in caelum fert , negat se hominem iustiorem , ne quid immoderatius dicam , ex Umbria ullum alium Romam venisse .",Negative,"Gaius Aufidius gives himself airs, extols his own judgment to the skies, says that not another man more just than himself, for I must not exaggerate, ever came from Umbria to Rome. ",,sarcastic
,172,"Quid quaeris ? Iudicem se quam oratorem volt laudari . Quom rideo , despicit :",Negative,"What need of more? He would rather win praise as a judge than as an orator. When I smile, he turns up his nose. ",despicit,
,173,"facile esse ait oscitantem iudici assidere , ceterum quidem iudicare praeclarum opus . Haec in me .",Negative,"Anyone, he says, can sit yawning beside a judge, but to be a judge is indeed to do noble work. This is meant for me! ",,insult to aurelius
,174,Sed tamen negotium belle se dedit . Bene est : gaudeo . Tuus adventus me quom beat tum sollicitat .,Mixed,However the affair has turned out finely. All is well: I rejoice. Your coming makes me happy and at the same time uneasy. ,,
,175,"Cur beet , nemo quaerat ; quam ob rem sollicitet , ego medius fidius fatebor tibi .",Mixed,"Why happy, it needs not to enquire: wherefore uneasy I will, fore heaven, avow to you.",,
,176,"Nam quod scribendum dedisti , ne paululum quidem operae ei , quamvis otiosus , dedi .",Neutral,For with plenty of time on my hands I have not given an atom of it to the task you gave me to write. ,,
,177,"Aristonis libri me hac tempestate bene accipiunt , atque eidem habent male : quom docent meliora , tum scilicet bene accipiunt ;",Mixed,"Ariston’s books just now treat me well and at the same time make me feel ill. When they teach me a better way, then, I need not say, they treat me well; ",,
,178,"quom vero ostendunt quantum ab his melioribus ingenium meum relictum sit , nimis quam saepe erubescit discipulus tuus sibique succenset , quod viginti quinque natus annos nihildum bonarum opinionum et puriorum rationum animo hauserim .",Negative,"but when they show me how far short my character comes of this better way, time and time again does your pupil blush and is angry with himself, for that, twenty-five years old as I am, no draught has my soul yet drunk of noble doctrines and purer principles. ",,
,179,"Itaque poenas do , irascor , tristis sum , ζηλοτυπῶ , cibo careo . His nunc ego curis devinctus obsequium scribendi cotidie in diem posterum protuli .",Negative,"Therefore I do penance, am wroth with myself, am sad, compare myself with others, starve myself. A prey to these thoughts at this time, I have put off each day till the morrow the duty of writing. ",,
,180,"Sed iam aliquid comminisear ; et quod orator quidam Atticus Atheniensium contionem monebat , nonnumquam permittendum legibus dormire , libris Aristonis propitiatis paulisper quiescere concedam , meque ad istum histrionum poetam totum convertam , lectis prius oratiunculis Tullianis .",Neutral,"But now I will think out something, and as a certain Athenian orator once warned an assembly of his countrymen, ""that the laws must sometimes be allowed to sleep"", I will make my peace with Ariston’s works and allow them to lie still awhile, and after reading some of Tully’s minor speeches I will devote myself entirely to your stage poet. ",,
,181,"Scribam autem alterutram partem , nam eadem de re diversa tueri numquam prorsus ita dormiet Aristo uti id permittat .",Neutral,"However, I can only write on one side or the other, for as to my defending both sides of the question, Ariston will, I am sure, never sleep so soundly as to allow me to do that! ",,
,182,Vale mi optime et honestissime magister . Domina mea te saluta ,Neutral,"Farewell, best and most honoured of masters. My Lady greets you.",,
"Epist . Graecae , 7 Naber , p .253 .",183,"Have mi magister optime . Age perge , quantum libet , comminare et argumentorum globis criminare :",Negative,"Go on, threaten as much as you please and attack me with hosts of arguments, ",,
,184,"numquam tu tamen erasten tuum , me dico , depuleris . Nec ego minus amare me Frontonem praedicabo , minusque amabo , quod tu tam variis tamque vehementibus sentent adprobaris minus amantibus magis opitulandum largiendum esse .",Positive,"yet shall you never drive your lover, I mean me, away; nor shall I the less assert that I love Fronto, or love him the less, because you prove with reasons so various and so vehement that those who are less in love must be more helped and indulged. ",,
,185,"Ego hercule te ita amore depereo , neque deterreor isto tuo dogmate , ac si magis eris aliis non amantibus properus et promptus , ego tamen vivus salvusque amabo .",Positive,"So passionately, by Hercules, am I in love with you, nor am I frightened off by the law you lay down, and even if you show yourself more forward and facile to others, who are non-lovers, yet will I love you while I have life and health. ",,
,186,"Ceterum quod ad sensuum densitatem , quod ad inventiones argutiarum , quod ad aemulationis felicitatem adtinet , nolo quidem dicere te multo placentes illos sibi et provocantes Atticos antevenisse , ac tamen nequeo quin dicam .",Positive,"For the rest, having regard to the close packing of ideas, the inventive subtilties, and the felicity of your championship of your cause, I hardly like, indeed, to say that you have far outstripped those Atticists, so self-satisfied and challenging, and yet I cannot but say so. ",,
,187,"Amo enim , et hoc denique amantibus vere tribuendum esse censeo quod victoriis τῶν ἐρωμένων magis gauderent .",Positive,"For I am in love and this, if nothing else, ought, I think, verily to be allowed to lovers, that they should have greater joy in the triumph of their loved ones. ",,
,188,"Vicimus igitur , vicimus , inquam . Num . . . praestabilius sub laquearibus quam sub platanis , intra pomerium quam extra murum , sine deliciis quam ipsa proxime adsistente habitanteve Lai disputari ?",Neutral,"Ours, then, is the triumph, ours, I say. Is it... preferable to talk philosophy under ceilings rather than under planetrees, within the city bounds than without its walls, scorning delights than with Lais herself sitting at our side or sharing our home? ",,
,189,"Nequeo reteiaclari utra re magis caveam , quod de Lai ista orator saeculi huius dogmam tulerit an quod magister meus de Platone .",Neutral,"Nor can I “make a cast” which to beware of more, the law which an orator of our time has laid down about this Lais, or my master’s dictum about Plato.",,
,190,"Illud equidem non temere adiuravero : Si quis iste revera Phaeder fuit , si umquam is a Socrate afuit , non magis Socratem Phaedri desiderio quam me per istos dies , dies dico ?",Negative,"This I can without rashness affirm: if that Phaedrus of yours ever really existed, if he was ever away from Socrates, Socrates never felt for Phaedrus a more passionate longing than I for the sight of you all these days: days do I say? ",,"longing would be neg, but it could also be positive since he's saying his love for fronto is stronger than phaedrus' for socrates"
,191,"menses inquam , tui adspectus cupidine arsisse ? . . . . amet , nisi confestim tuo amore corripitur .",Negative,months I mean... unless he is straightway seized with love of you. ,,^
,192,"Vale mihi maxima res su caelo , gloria mea . Sufficit talem magistrum habuisse .",Positive,"Farewell, my greatest treasure beneath the sky, my glory. It is enough to have had such a master. ",,
,193,Domina mea mater te salutat . ,Neutral,My lady mother sends you greeting.,,
 Ibid . i . 6 . Ex Epistula Veri ad Marcum ,194,"Avidius Cassius avidus est , quantum et mihi videtur et iam inde sub avo meo , patre tuo , innotuit , imperii :",Neutral,"Avidius Cassius, if my judgment counts for anything, is avid for empire, as was already patent under my grandfather, your father.",,
,195,"quem velim observari iubeas . Omnia enim nostra ei displicent , opes non mediocres parat , litteras nostras ridet , te philosopham aniculam , me luxuriosum morionem vocat .",Negative,"I would have you keep a watchful eye upon him. He dislikes our whole regime; he is gathering great wealth; he ridicules our letters; he calls you a philosophizing old woman, me a profligate simpleton. ",,
,196,"Vide quid agendum sit . Ego hominem non odi , sed vide ne tibi et liberis tuis non bene consulas , quom talem inter praecinctos habeas , qualem milites libenter audiunt , libenter vident .",Neutral,"See what had better be done. Personally I do not dislike the man; but you must consider whether you are acting fairly by yourself and your children in keeping ready equipped for action such a leader as the soldiers gladly listen to, gladly see.",,
Ibid . ii . 1 . Rescriptum Marci de Avidio Cassio ,197,Epistulam tuam legi sollicitam potius quam imperatoriam et non nostri temporis .,Negative,"I have read your letter, which savours more of the alarmist than the Imperator, and not of our time.",,
,198,"Nam si ei divinitus debetur imperium , non poterimus interficere , etiam si velimus .",Neutral,"For if the empire is destined by heaven for Cassius we shall not be able to put him to death, however much we may desire it. ",,
,199,"Scis enim proavi tui dictum : Successorem suum nullus occidit . Sin minus , ipse sponte sine nostra crudelitate fatales laqueos inciderit .",Neutral,"You know your great-grandfather's saying, 'No one ever killed his own successor'. But if the empire is not so destined, he will himself of his own accord, without any harsh measures on our part, be caught in the toils of Fate, ",,
,200,"Adde quod non possumus reum facere quem et nullus accusat et , ut ipse dicis , milites amant .",Neutral,"let alone the fact that we cannot treat as a criminal a man whom no one impeaches and, as you say, the soldiers love. ",,
,201,"Deinde in causis maiestatis haec natura est , ut videantur vim pati etiam quibus probatur .",Neutral,"Besides, in cases of high treason, it is inevitable that even those who are proved guilty should seem to be victims of oppression.",,
,202,"Scis enim ipse quid avus tuus Hadrianus dixerit : Misera condicio imperatorum , quibus de adfecta tyrannide nisi occisis non potest credi .",Negative,"For you know yourself what your grandfather Hadrian said: 'Wretched indeed is the lot of princes, who only by being slain can persuade the world that they have been conspired against!'","misera, tyrannide",
,203,"Eius autem exemplum ponere malui quam Domitiani , qui hoc primus dixisse fertur . Tyrannorum enim etiam bona dicta non habent tantum auctoritatis , quantum debent .",Neutral,"I have preferred to father the remark on him rather than Domitian, who is said to have made it first, for in the mouths of tyrants even fine sayings do not carry as much weight as they ought. ",,
,204,"Sibi ergo habeat suos mores , maxime quom bonus dux sit et severus et fortis et reipublicae necessarius .",Positive,"Let Cassius then go his own way, more especially as he is an excellent general, strict and brave and indispensable to the State. ",,
,205,"Nam quod dicis liberis meis cavendum esse morte illius , plane liberi mei pereant , si magis amari merebitur Avidius quam illi , et si reipublicae expediet Cassium vivere quam liberos Marci .",Neutral,"For as to what you say that the interests of my children should be safeguarded by his death, frankly, may my children perish, if Avidius deserves to be loved more than they, and if it be better for the State that Cassius should survive than the children of Marcus.",,
,206,,,,,
,207,,,,,
,208,,,,,
,209,,,,,
,210,,,,,
,211,,,,,
,212,,,,,
,213,,,,,
,214,,,,,
,215,,,,,
,216,,,,,
,217,,,,,
,218,,,,,
,219,,,,,